actual,proposed
-0.8744814991950989,-0.8684068918228149
-0.8784113526344299,-0.8734090924263
-0.9930347204208374,-0.9332219362258911
-0.9974545240402222,-0.9653382301330566
-0.9996643662452698,-0.9825012683868408
-1.002979040145874,-0.9927401542663574
-1.0051887035369873,-0.9989644289016724
-1.0633149147033691,-1.0311397314071655
-1.0633149147033691,-1.0472272634506226
-1.0644819736480713,-1.0558546781539917
-1.0691498517990112,-1.0625022649765015
-1.0714837312698364,-1.066992998123169
-1.3484917879104614,-1.2077423334121704
-1.3470228910446167,-1.2773826122283936
-1.3499605655670166,-1.313671588897705
-1.3528982400894165,-1.3332849740982056
-1.3573042154312134,-1.3452945947647095
-1.5573174953460693,-1.4513059854507446
-1.5589995384216309,-1.5051528215408325
-1.562363624572754,-1.533758282661438
-1.562363624572754,-1.5480610132217407
-1.562363624572754,-1.5552122592926025
-1.5640455484390259,-1.559628963470459
-1.7891957759857178,-1.6744123697280884
-1.791113257408142,-1.7327628135681152
-1.7930307388305664,-1.7628967761993408
-1.7987827062606812,-1.7808398008346558
-1.8006999492645264,-1.7907698154449463
-2.0170812606811523,-1.9039255380630493
-2.0213654041290283,-1.9626455307006836
-2.0235073566436768,-1.9930765628814697
-2.0235073566436768,-2.0082919597625732
-2.0235073566436768,-2.015899658203125
-2.4711484909057617,-2.2435240745544434
-2.473745346069336,-2.3586347103118896
-2.473745346069336,-2.4161901473999023
-2.476341962814331,-2.446265935897827
-2.473745346069336,-2.460005760192871
-2.473745346069336,-2.4668755531311035
-2.884892463684082,-2.6758840084075928
-2.884892463684082,-2.780388355255127
-2.890901565551758,-2.8356449604034424
-2.8939056396484375,-2.8647751808166504
-2.8999130725860596,-2.8823442459106445
-3.1076269149780273,-2.994985580444336
-3.110826253890991,-3.052906036376953
-3.114025354385376,-3.083465576171875
-3.1076269149780273,-3.095546245574951
-3.1076269149780273,-3.1015865802764893
-3.464747428894043,-3.2831668853759766
-3.461209535598755,-3.3721883296966553
-3.461209535598755,-3.416698932647705
-3.461209535598755,-3.4389541149139404
-3.4576711654663086,-3.448312759399414
-3.6787192821502686,-3.5635159015655518
-3.6824653148651123,-3.622990608215332
-3.6824653148651123,-3.6527280807495117
-3.6824653148651123,-3.6675968170166016
-3.6824653148651123,-3.6750309467315674
-3.880425453186035,-3.777728319168091
-3.8725829124450684,-3.825155735015869
-3.8647384643554688,-3.844947099685669
-3.8686609268188477,-3.8568038940429688
-3.8686609268188477,-3.862732410430908
-3.8686609268188477,-3.865696668624878
-4.008702278137207,-3.937199592590332
-4.00465202331543,-3.970925807952881
-4.000600337982178,-3.9857630729675293
-3.996548652648926,-3.9911558628082275
-3.996548652648926,-3.993852138519287
-4.058136940002441,-4.025994300842285
-4.058136940002441,-4.042065620422363
-4.054023742675781,-4.048044681549072
-4.049910068511963,-4.048977375030518
-4.049910068511963,-4.04944372177124
-4.1889519691467285,-4.119197845458984
-4.1931915283203125,-4.156194686889648
-4.1931915283203125,-4.1746931076049805
-4.1931915283203125,-4.1839423179626465
-4.1889519691467285,-4.1864471435546875
-4.37698221206665,-4.28171443939209
-4.37698221206665,-4.329348087310791
-4.37698221206665,-4.353165149688721
-4.37698221206665,-4.3650736808776855
-4.37698221206665,-4.371027946472168
-4.37698221206665,-4.37400484085083
-4.463987827301025,-4.418996334075928
-4.459506988525391,-4.439251899719238
-4.459506988525391,-4.4493794441223145
-4.459506988525391,-4.454443454742432
-4.455025672912598,-4.4547343254089355
-4.815515041351318,-4.635124683380127
-4.820308685302734,-4.727716445922852
-4.815515041351318,-4.771615982055664
-4.810719966888428,-4.791167736053467
-4.805923938751221,-4.798545837402344
-5.2202839851379395,-5.009415149688721
-5.20997428894043,-5.109694480895996
-5.204817771911621,-5.157256126403809
-5.204817771911621,-5.181036949157715
-5.19965934753418,-5.190348148345947
-5.19965934753418,-5.195003509521484
-5.446568489074707,-5.320785999298096
-5.441202640533447,-5.3809943199157715
-5.441202640533447,-5.411098480224609
-5.451932907104492,-5.431515693664551
-5.441202640533447,-5.43635892868042
-5.690828323364258,-5.563593864440918
-5.685257911682129,-5.624425888061523
-5.690828323364258,-5.657627105712891
-5.679686069488525,-5.668656349182129
-5.679686069488525,-5.674171447753906
-5.9930572509765625,-5.833614349365234
-5.987244129180908,-5.910429000854492
-5.981428623199463,-5.945928573608398
-5.987244129180908,-5.966586589813232
-5.987244129180908,-5.97691535949707
-6.31361722946167,-6.145266056060791
-6.301506042480469,-6.223386287689209
-6.301506042480469,-6.262446403503418
-6.28938627243042,-6.27591609954834
-6.283323287963867,-6.2796196937561035
-6.610625743865967,-6.445122718811035
-6.604323387145996,-6.524723052978516
-6.604323387145996,-6.564523220062256
-6.604323387145996,-6.584423065185547
-6.598017692565918,-6.591220378875732
-6.591710090637207,-6.591464996337891
-6.822286128997803,-6.706875801086426
-6.81581974029541,-6.761347770690918
-6.8028788566589355,-6.782113075256348
-6.796403884887695,-6.7892584800720215
-6.796403884887695,-6.792830944061279
-7.195815563201904,-6.994323253631592
-7.20253324508667,-7.098428249359131
-7.195815563201904,-7.147121906280518
-7.195815563201904,-7.171468734741211
-7.195815563201904,-7.183642387390137
-7.369630813598633,-7.276636600494385
-7.376453876495361,-7.326545238494873
-7.376453876495361,-7.351499557495117
-7.369630813598633,-7.360565185546875
-7.362804889678955,-7.361684799194336
-7.464915752410889,-7.413300514221191
-7.451131343841553,-7.432215690612793
-7.437332630157471,-7.434774398803711
-7.437332630157471,-7.436053276062012
-7.4442338943481445,-7.440143585205078
-7.451131343841553,-7.445637226104736
-7.60559606552124,-7.525616645812988
-7.612579822540283,-7.569097995758057
-7.626534461975098,-7.597816467285156
-7.626534461975098,-7.612175464630127
-7.619559288024902,-7.615867614746094
-7.7700581550598145,-7.692962646484375
-7.762994289398193,-7.727978706359863
-7.755927085876465,-7.741952896118164
-7.755927085876465,-7.7489399909973145
-7.762994289398193,-7.755967140197754
-7.708244800567627,-7.7321062088012695
-7.687028884887695,-7.709567546844482
-7.665777206420898,-7.687672138214111
-7.651590824127197,-7.669631481170654
-7.644491195678711,-7.6570611000061035
-7.71612548828125,-7.686593532562256
-7.730384826660156,-7.708488941192627
-7.730384826660156,-7.719437122344971
-7.70898962020874,-7.7142133712768555
-7.694705486297607,-7.7044596672058105
-7.687557697296143,-7.696008682250977
-7.7137603759765625,-7.7048845291137695
-7.706593990325928,-7.705739498138428
-7.699423789978027,-7.702581405639648
-7.692249298095703,-7.697415351867676
-7.706593990325928,-7.702004909515381
-7.77522087097168,-7.738613128662109
-7.768012523651123,-7.753312587738037
-7.77522087097168,-7.7642669677734375
-7.782426357269287,-7.773346424102783
-7.782426357269287,-7.777886390686035
-7.877930164337158,-7.827908039093018
-7.8851752281188965,-7.856541633605957
-7.899653911590576,-7.8780975341796875
-7.914114475250244,-7.896106243133545
-7.92133903503418,-7.908722877502441
-7.90435791015625,-7.906540393829346
-7.918760299682617,-7.912650108337402
-7.933145523071289,-7.922897815704346
-7.940331935882568,-7.931614875793457
-7.954692840576172,-7.9431538581848145
-7.976202487945557,-7.9596781730651855
-8.069795608520508,-7.979839324951172
-8.076990127563477,-7.989919662475586
-8.084179878234863,-7.994959831237793
-8.091364860534668,-7.9974799156188965
-8.098546981811523,-7.998739719390869
-8.157495498657227,-7.999370098114014
-8.179054260253906,-7.999684810638428
-8.200573921203613,-7.999842643737793
-8.222055435180664,-7.9999213218688965
-8.243497848510742,-7.999960422515869
-8.281332969665527,-7.999980449676514
-8.288481712341309,-7.999989986419678
-8.302766799926758,-7.999995231628418
-8.302766799926758,-7.999997615814209
-8.317034721374512,-7.999998569488525
-8.535489082336426,-7.999999523162842
-8.549919128417969,-7.999999523162842
-8.564332008361816,-8.0
-8.57872486114502,-8.0
-8.585914611816406,-8.0
-8.585914611816406,-8.0
-8.678116798400879,-8.0
